iter	RMSE
0	7031168.89
1	6996205.95
2	6960680.503
3	6866054.651
4	6832297.196
5	6740471.019
6	6691277.788
7	6614387.813
8	6531616.005
9	6463247.078
10	6388309.898
11	6333472.547
12	6292113.319
13	6252410.447
14	6175435.188
15	6144090.498
16	6068973.369
17	6038679.676
18	6009462.408
19	5979260.89
20	5950798.822
21	5916597.354
22	5854130.224
23	5799105.325
24	5735874.95
25	5668611.536
26	5597286.158
27	5560046.16
28	5533383.011
29	5506845.405
30	5481404.646
31	5455822.439
32	5430329.219
33	5399954.961
34	5347483.012
35	5285493.651
36	5260948.385
37	5237196.455
38	5213453.792
39	5185595.855
40	5128221.868
41	5066114.221
42	5007760.978
43	4960440.357
44	4931096.803
45	4907556.041
46	4884520.368
47	4855858.245
48	4805746.453
49	4783430.206
50	4762544.784
51	4714890.307
52	4687133.17
53	4667367.766
54	4621886.592
55	4602836.911
56	4551395.545
57	4499164.605
58	4480951.736
59	4462975.559
60	4444630.792
61	4409742.258
62	4371361.878
63	4332436.086
64	4315421.673
65	4287743.016
66	4271297.712
67	4254308.178
68	4211823.199
69	4196068.086
70	4179730.385
71	4163766.902
72	4117572.457
73	4083403.456
74	4066774.735
75	4040010.556
76	3989189.302
77	3973932.606
78	3949834.928
79	3909514.699
80	3886306.573
81	3838685.093
82	3795818.431
83	3771732.289
84	3757933.462
85	3728331.824
86	3704126.413
87	3691306.909
88	3678245.737
89	3638310.522
90	3618936.326
91	3596645.737
92	3571795.771
93	3533834.53
94	3512672.503
95	3496329.911
96	3477978.286
97	3438506.47
98	3422400.089
99	3411137.703
100	3396394.911
101	3378424.492
102	3349718.69
103	3321166.752
104	3310600.211
105	3299302.03
106	3269500.119
107	3252119.579
108	3218820.35
109	3186049.432
110	3168689.027
111	3158850.071
112	3146066.714
113	3118211.805
114	3096935.006
115	3087943.026
116	3071407.017
117	3040645.945
118	3025866.162
119	3016680.698
120	3008383.135
121	2999995.515
122	2977832.197
123	2969901.398
124	2948116.131
125	2937329.46
126	2920043.121
127	2907179.794
128	2879983.74
129	2862120.224
130	2833294.659
131	2824891.49
132	2811590.97
133	2791269.718
134	2777297.992
135	2758094.791
136	2730526.779
137	2703678.919
138	2690226.062
139	2670913.871
140	2664028.542
141	2655066.569
142	2633737.594
143	2620100.588
144	2603002.313
145	2584210.348
146	2569220.043
147	2562822.209
148	2552504.955
149	2546622.179
150	2538515.279
151	2532721.345
152	2521721.139
153	2511998.305
154	2502467.751
155	2495145.384
156	2486932.474
157	2479035.88
158	2468658.078
159	2463567.725
160	2454579.72
161	2449896.683
162	2443493.494
163	2434879.516
164	2427586.922
165	2422975.93
166	2416468.036
167	2410691.358
168	2402643.22
169	2398554.811
170	2392157.339
171	2388064.895
172	2379966.107
173	2374381.491
174	2366560.034
175	2346281.299
176	2338642.216
177	2329364.109
178	2314190.723
179	2310676.582
180	2292372.978
181	2275691.22
182	2270323.491
183	2264024.844
184	2260792.432
185	2254239.019
186	2248812.047
187	2245522.297
188	2236491.966
189	2219938.931
190	2204657.489
191	2201431.592
192	2198433.535
193	2182963.487
194	2177117.444
195	2162167.192
196	2156185.067
197	2151208.655
198	2145632.397
199	2138998.075
200	2133466.472
201	2119479.806
202	2111460.581
203	2105601.699
204	2100328.764
205	2093441.758
206	2089735.503
207	2077249.994
208	2063342.239
209	2058406.693
210	2053578.574
211	2051298.361
212	2039881.716
213	2028142.056
214	2017118.324
215	2013907.364
216	2009553.019
217	2005624.02
218	2001281.164
219	1995935.515
220	1993228.021
221	1991420.509
222	1987193.402
223	1983065.123
224	1979057.463
225	1966794.054
226	1956909.489
227	1955123.54
228	1953372.157
229	1942948.108
230	1939150.454
231	1934606.265
232	1932974.476
233	1926220.359
234	1922682.365
235	1914102.582
236	1904665.037
237	1901268.754
238	1897864.553
239	1893092.383
240	1889801.155
241	1881246.372
242	1877740.529
243	1874672.163
244	1871686.712
245	1868731.67
246	1865831.539
247	1863011.07
248	1860218.547
249	1857390.486
250	1854698.453
251	1851501.783
252	1842114.658
253	1839550.19
254	1837033.374
255	1827989.552
256	1825532.956
257	1823122.676
258	1820760.875
259	1818439.946
260	1816163.124
261	1808111.419
262	1805895.939
263	1803716.462
264	1796946.211
265	1788677.912
266	1780499.647
267	1773127.687
268	1766379.262
269	1764043.459
270	1762251.507
271	1754482.635
272	1752246.959
273	1745450.055
274	1739265.976
275	1737109.771
276	1735232.966
277	1734073.227
278	1732555.173
279	1731065.231
280	1729062.201
281	1723880.149
282	1717563.917
283	1716134.286
284	1709020.546
285	1707626.03
286	1701878.742
287	1700556.163
288	1699230.487
289	1697725.678
290	1696438.859
291	1692059.508
292	1686181.922
293	1682000.298
294	1680783.331
295	1676444.031
296	1675141.294
297	1673999.866
298	1672742.708
299	1668851.196
300	1664799.44
301	1663604.577
302	1658933.336
303	1655712.266
304	1654561.243
305	1653432.833
306	1652430.863
307	1648974.083
308	1645272.308
309	1642930.446
310	1641893.874
311	1640877.453
312	1637514.801
313	1636523.43
314	1634732.419
315	1630177.007
316	1629233.554
317	1626636.691
318	1625717.826
319	1624816.715
320	1623932.783
321	1623065.821
322	1620280.044
323	1617121.144
324	1615583.48
325	1614098.491
326	1611491.239
327	1608143.619
328	1605597.678
329	1604800.987
330	1601916.968
331	1598643.579
332	1596490.756
333	1593814.719
334	1593053.527
335	1590786.937
336	1589473.386
337	1588141.045
338	1587428.011
339	1586728.668
340	1583132.428
341	1580540.019
342	1579281.32
343	1575811.117
344	1573851.932
345	1570509.359
346	1567279.506
347	1564213.09
348	1561920.84
349	1560338.437
350	1559738.324
351	1558607.434
352	1556720.158
353	1556137.059
354	1554599.565
355	1550933.102
356	1549875.686
357	1548361.489
358	1547099.294
359	1545162.926
360	1543603.556
361	1543058.403
362	1541531.246
363	1540105.632
364	1538978.886
365	1535305.646
366	1532412.821
367	1531690.958
368	1530586.034
369	1529621.985
370	1527069.168
371	1525788.83
372	1525449.904
373	1522167.233
374	1520963.408
375	1520226.343
376	1518475.988
377	1517596.396
378	1515764.322
379	1514284.681
380	1512461.009
381	1511994.369
382	1511258.565
383	1508664.103
384	1506029.012
385	1504599.853
386	1503165.571
387	1501788.346
388	1500447.305
389	1499743.568
390	1498348.408
391	1497605.819
392	1496609.276
393	1496036.535
394	1494945.894
395	1492930.609
396	1490487.382
397	1487658.523
398	1485877.761
399	1482991.73
400	1482588.177
401	1481414.088
402	1480420.609
403	1479231.98
404	1478283.151
405	1476560.743
406	1474079.342
407	1472931.815
408	1471576.888
409	1471200.72
410	1470465.247
411	1469704.532
412	1468894.839
413	1466835.426
414	1464480.398
415	1462484.663
416	1461527.491
417	1461007.617
418	1458442.419
419	1456192.038
420	1454100.923
421	1453313.823
422	1452554.887
423	1450420.255
424	1449682.41
425	1445805.617
426	1445210.274
427	1443107.489
428	1442072.771
429	1441787.698
430	1440153.819
431	1438591.193
432	1436580.34
433	1433307.225
434	1432633.827
435	1431216.509
436	1429405.359
437	1428385.835
438	1427749.088
439	1427096.729
440	1426228.546
441	1425398.227
442	1424862.97
443	1423763.457
444	1421548.023
445	1420780.748
446	1419266.574
447	1418532.593
448	1415479.675
449	1414917.545
450	1412418.625
451	1409747.965
452	1407055.844
453	1404245.067
454	1403758.59
455	1403248.801
456	1398584.692
457	1398261.534
458	1397746.714
459	1397262.134
460	1396329.341
461	1393565.148
462	1391993.031
463	1389302.232
464	1387633.631
465	1386581.564
466	1385408.225
467	1383828.296
468	1381027.054
469	1379223.719
470	1377548.324
471	1375458.099
472	1372717.461
473	1371955.047
474	1368991.59
475	1366595.822
476	1364832.711
477	1362843.802
478	1361252.769
479	1358959.679
480	1356568.638
481	1355061.472
482	1352912.193
483	1351539.031
484	1349522.457
485	1348719.774
486	1347467.409
487	1344343.446
488	1342194.767
489	1340126.214
490	1338326.2
491	1336244.749
492	1335099.203
493	1334405.329
494	1332869.979
495	1330578.184
496	1328835.826
497	1327761.507
