iter	Passed	Remaining
0	51	51528
1	51	25941
2	52	17482
3	53	13273
4	53	10691
5	54	8998
6	54	7791
7	55	6892
8	56	6192
9	56	5634
10	57	5182
11	58	4796
12	58	4469
13	59	4193
14	60	3951
15	60	3735
16	61	3564
17	62	3382
18	62	3215
19	62	3079
20	63	2944
21	63	2833
22	64	2731
23	64	2640
24	65	2555
25	66	2477
26	66	2405
27	67	2340
28	67	2269
29	68	2199
30	68	2136
31	68	2081
32	69	2033
33	70	1990
34	70	1948
35	71	1911
36	71	1873
37	72	1833
38	73	1801
39	73	1770
40	74	1739
41	74	1710
42	75	1681
43	76	1652
44	76	1628
45	77	1598
46	77	1574
47	78	1547
48	78	1523
49	79	1503
50	79	1483
51	80	1465
52	80	1445
53	81	1421
54	81	1404
55	82	1383
56	82	1367
57	83	1352
58	83	1333
59	83	1314
60	84	1299
61	85	1286
62	85	1273
63	86	1261
64	86	1249
65	87	1237
66	87	1221
67	88	1213
68	89	1202
69	89	1188
70	89	1176
71	90	1163
72	90	1154
73	91	1145
74	91	1132
75	92	1123
76	93	1115
77	93	1108
78	94	1100
79	95	1094
80	95	1086
81	96	1079
82	97	1071
83	97	1064
84	97	1053
85	98	1046
86	99	1040
87	99	1031
88	99	1021
89	100	1014
90	101	1009
91	101	1002
92	102	996
93	102	991
94	103	986
95	104	980
96	104	974
97	105	969
98	105	964
99	106	957
100	106	952
101	107	947
102	108	942
103	108	937
104	109	932
105	110	928
106	110	924
107	111	919
108	111	915
109	112	910
110	113	906
111	113	902
112	114	898
113	115	894
114	115	890
115	116	886
116	117	884
117	117	880
118	118	877
119	119	873
120	119	867
121	119	862
122	120	859
123	120	853
124	121	849
125	122	847
126	122	844
127	123	840
128	123	837
129	124	834
130	125	831
131	125	828
132	126	825
133	127	821
134	127	818
135	128	816
136	129	813
137	130	812
138	130	811
139	131	808
140	132	805
141	132	802
142	133	799
143	134	797
144	134	794
145	135	791
146	135	788
147	136	786
148	137	783
149	137	780
150	138	776
151	138	772
152	139	770
153	139	767
154	140	765
155	141	763
156	141	762
157	142	760
158	143	757
159	143	754
160	144	751
161	144	748
162	145	745
163	145	743
164	146	741
165	146	737
166	147	735
167	147	731
168	148	729
169	148	726
170	149	723
171	149	720
172	150	718
173	150	714
174	151	713
175	151	710
176	152	709
177	153	707
178	153	705
179	154	702
180	154	700
181	155	698
182	155	696
183	156	694
184	156	691
185	157	688
186	157	686
187	158	684
188	158	681
189	159	680
190	160	678
191	160	676
192	161	674
193	161	672
194	162	670
195	163	668
196	163	667
197	164	666
198	165	664
199	165	663
200	166	661
201	167	660
202	167	658
203	168	657
204	168	655
205	169	652
206	169	650
207	170	649
208	171	648
209	171	646
210	172	644
211	172	642
212	173	641
213	174	639
214	174	638
215	175	635
216	175	634
217	176	633
218	177	633
219	178	631
220	178	629
221	178	627
222	179	626
223	180	624
224	181	623
225	181	622
226	182	621
227	182	619
228	183	617
229	184	617
230	185	615
231	185	615
232	186	612
233	186	611
234	187	610
235	188	609
236	189	609
237	189	607
238	190	606
239	191	605
240	191	603
241	192	602
242	193	601
243	193	600
244	194	599
245	195	598
246	195	596
247	196	595
248	197	594
249	197	593
250	198	591
251	199	592
252	200	590
253	200	590
254	201	588
255	202	587
256	202	586
257	203	585
258	204	583
259	204	582
260	205	581
261	205	580
262	206	578
263	207	577
264	207	576
265	208	575
266	209	573
267	209	572
268	210	571
269	211	570
270	212	570
271	212	569
272	213	568
273	214	567
274	214	566
275	215	565
276	216	564
277	216	562
278	217	561
279	217	559
280	218	558
281	219	557
282	219	556
283	220	555
284	220	554
285	221	552
286	222	551
287	222	550
288	223	549
289	223	548
290	224	547
291	225	546
292	225	545
293	226	543
294	227	542
295	227	541
296	228	540
297	228	538
298	229	537
299	229	536
300	230	535
301	231	534
302	231	533
303	232	532
304	232	530
305	233	529
306	234	528
307	234	527
308	235	526
309	235	525
310	236	523
311	236	522
312	237	521
313	237	519
314	238	518
315	239	517
316	239	516
317	240	515
318	240	513
319	241	512
320	241	511
321	242	509
322	242	508
323	243	507
324	243	506
325	244	505
326	244	503
327	245	503
328	246	502
329	246	501
330	247	500
331	248	499
332	248	497
333	249	496
334	249	495
335	250	494
336	250	493
337	251	492
338	251	491
339	252	489
340	253	488
341	253	488
342	254	487
343	255	486
344	255	485
345	256	484
346	257	483
347	257	482
348	258	482
349	259	481
350	259	480
351	260	479
352	260	478
353	261	476
354	262	476
355	262	475
356	263	474
357	263	473
358	264	472
359	264	471
360	265	470
361	266	468
362	266	467
363	267	466
364	267	466
365	268	465
366	269	464
367	270	463
368	270	462
369	271	461
370	271	460
371	272	460
372	273	459
373	274	458
374	275	458
375	276	458
376	276	457
377	277	456
378	277	455
379	278	454
380	279	453
381	279	452
382	280	452
383	281	451
384	282	450
385	283	450
386	283	449
387	284	448
388	285	448
389	285	447
390	286	446
391	286	445
392	287	444
393	288	443
394	288	442
395	289	441
396	290	440
397	290	439
398	291	438
399	291	437
400	292	436
401	292	435
402	293	435
403	294	434
404	294	433
405	295	432
406	296	431
407	296	430
408	297	430
409	298	429
410	298	428
411	299	427
412	300	426
413	300	425
414	301	424
415	301	423
416	302	423
417	303	422
418	304	421
419	304	420
420	305	419
421	306	419
422	306	418
423	307	417
424	308	416
425	308	416
426	309	415
427	309	414
428	310	413
429	311	412
430	312	412
431	312	411
432	313	410
433	314	409
434	314	408
435	315	408
436	316	407
437	317	406
438	317	406
439	318	405
440	319	404
441	319	403
442	320	403
443	321	402
444	321	401
445	322	400
446	323	399
447	323	398
448	324	398
449	324	397
450	325	396
451	326	395
452	327	394
453	327	394
454	328	393
455	329	392
456	329	391
457	330	391
458	331	390
459	331	389
460	332	388
461	332	387
462	333	386
463	334	386
464	334	385
465	335	384
