balkon_durumu,banyo_sayisi,bina_kat_sayisi,bina_yasi,kat,esya_durumu,isitma_tipi,net_metrekare,oda_sayisi,site,tip,fiyat
0,1.0,5.0,0.0,1.0,0,0,95.0,3.0,1,1,1655000.0
0,1.0,4.0,4.0,3.0,0,0,95.0,3.0,1,1,1100000.0
0,1.0,13.0,4.0,6.0,0,0,70.0,2.0,1,1,1259000.0
0,1.0,4.0,0.0,1.0,0,0,95.0,3.0,1,1,2699000.0
0,1.0,5.0,0.0,2.0,0,0,100.0,3.0,1,1,1750000.0
0,1.0,3.0,0.0,3.0,0,0,125.0,4.0,1,1,2750000.0
0,1.0,5.0,0.0,3.0,0,0,100.0,3.0,1,1,999999.0
0,1.0,17.0,4.0,11.0,1,0,65.0,2.0,1,1,1590000.0
0,2.0,5.0,0.0,1.0,0,0,120.0,4.0,1,1,3749000.0
0,1.0,22.0,7.0,10.0,0,0,100.0,3.0,1,1,1759000.0
0,2.0,13.0,0.0,8.0,0,0,160.0,4.0,0,1,4950000.0
0,2.0,10.0,13.0,7.0,0,0,136.0,4.0,1,1,4450000.0
0,1.0,5.0,4.0,2.0,0,0,95.0,3.0,1,1,2500000.0
0,2.0,5.0,1.0,2.0,0,0,95.0,3.0,1,1,1770000.0
0,1.0,4.0,0.0,3.0,0,0,130.0,4.0,1,1,2450000.0
0,1.0,10.0,13.0,2.0,0,0,140.0,4.0,1,1,2999000.0
0,2.0,6.0,2.0,1.0,0,0,80.0,2.0,1,1,1750000.0
0,2.0,20.0,4.0,2.0,0,0,100.0,3.0,0,1,1100000.0
0,2.0,3.0,0.0,2.0,0,0,105.0,3.0,1,1,3249000.0
0,2.0,3.0,0.0,1.0,0,0,128.0,4.0,1,1,2880000.0
0,1.0,3.0,0.0,2.0,0,0,95.0,3.0,0,1,2480000.0
0,2.0,18.0,7.0,12.0,0,0,100.0,3.0,1,1,1899000.0
0,1.0,4.0,2.0,1.0,0,0,95.0,3.0,1,1,949000.0
0,1.0,4.0,3.0,2.0,0,0,95.0,3.0,1,1,1190000.0
0,1.0,4.0,0.0,1.0,0,0,100.0,3.0,1,1,1349000.0
0,1.0,4.0,2.0,2.0,0,0,95.0,3.0,1,1,1550000.0
0,1.0,4.0,0.0,2.0,0,0,95.0,3.0,1,1,1800000.0
0,1.0,30.0,7.0,13.0,0,0,75.0,2.0,1,1,1550000.0
0,1.0,4.0,0.0,1.0,0,0,95.0,3.0,1,1,1700000.0
0,1.0,5.0,1.0,2.0,0,0,135.0,4.0,1,1,2599000.0
0,2.0,3.0,0.0,1.0,0,0,150.0,4.0,1,1,3999999.0
0,2.0,3.0,0.0,3.0,0,0,160.0,4.0,1,1,2950000.0
0,1.0,15.0,4.0,3.0,0,0,75.0,2.0,1,1,899999.0
0,1.0,6.0,0.0,2.0,0,0,105.0,3.0,1,1,860000.0
0,1.0,6.0,0.0,1.0,0,0,100.0,3.0,1,1,950000.0
0,1.0,5.0,0.0,3.0,0,0,105.0,3.0,1,1,1100000.0
0,1.0,5.0,0.0,1.0,0,0,105.0,3.0,1,1,949000.0
1,1.0,12.0,7.0,9.0,1,0,75.0,2.0,1,1,999999.0
0,1.0,5.0,4.0,1.0,0,0,100.0,3.0,1,1,2450000.0
0,1.0,5.0,4.0,1.0,0,0,100.0,3.0,1,1,2500000.0
0,2.0,4.0,0.0,2.0,0,0,110.0,3.0,1,1,3199999.0
0,2.0,5.0,0.0,1.0,0,0,140.0,4.0,1,1,3999999.0
0,3.0,4.0,0.0,3.0,0,0,200.0,7.0,1,1,5999999.0
0,1.0,4.0,0.0,2.0,0,0,80.0,2.0,1,1,2099999.0
0,1.0,5.0,4.0,1.0,0,0,100.0,3.0,1,1,2450000.0
0,3.0,2.0,0.0,1.0,0,0,400.0,8.0,1,3,17999999.0
0,2.0,10.0,13.0,7.0,0,0,136.0,4.0,1,1,4450000.0
0,2.0,4.0,0.0,1.0,0,0,120.0,3.0,1,1,1799999.0
0,2.0,4.0,0.0,1.0,0,0,120.0,2.0,1,1,2649999.0
0,2.0,5.0,0.0,1.0,0,0,90.0,3.0,1,1,1699999.0
0,3.0,2.0,0.0,1.0,0,0,465.0,7.0,1,3,23999999.0
0,2.0,5.0,0.0,2.0,0,0,110.0,3.0,1,1,2900000.0
0,2.0,4.0,0.0,2.0,0,0,110.0,3.0,1,1,3999999.0
0,1.0,5.0,7.0,1.0,0,0,80.0,3.0,1,1,1040000.0
0,2.0,15.0,4.0,1.0,0,0,130.0,4.0,1,1,1730000.0
0,2.0,4.0,0.0,2.0,0,0,130.0,4.0,1,1,2400000.0
0,1.0,4.0,0.0,1.0,0,0,140.0,3.0,1,1,3000000.0
